GTA SA MEMORY FUNCTIONS/MEMORY ADDRESS research

(offsets) for GTA SA PC only!! (see notes at bottom of file incase you happen to see some mobile-related stuff come across..)

  Address            FUNCTION
 0001:000A3D90       FxInfoEmSpeed_c::GetValue(float,float,float,float,uchar,void *)
 0001:000A3DC0       FxInfoEmDir_c::FxInfoEmDir_c(void)
 0001:000A4270       FxInfoNoise_c::FxInfoNoise_c(void)
 0001:000A4450       FxInfoForce_c::FxInfoForce_c(void)
 0001:000A4550       FxInfoFriction_c::FxInfoFriction_c(void)
 0001:000A4650       FxInfoAttractPt_c::FxInfoAttractPt_c(void)
 0001:000A47C0       FxInfoAttractLine_c::FxInfoAttractLine_c(void)
 0001:000A4980       FxInfoGroundCollide_c::FxInfoGroundCollide_c(void)
 0001:000A4A10       FxInfoWind_c::FxInfoWind_c(void)
 0001:000A4B20       FxInfoJitter_c::FxInfoJitter_c(void)
 0001:000A4FA0       FxInfoSize_c::FxInfoSize_c(void)
 0001:000A5440       FxInfoDir_c::FxInfoDir_c(void)
 0001:000A5550       FxInfoAnimTexture_c::FxInfoAnimTexture_c(void)
 0001:000A5A00       FxInfoEmRate_c::FxInfoEmRate_c(void)
 0001:000A5B50       FxInfoEmSpeed_c::~FxInfoEmSpeed_c()
 0001:000A6B00       FxInfoManager_c::AddFxInfo(int)
 0001:000A7440       FxInterpInfoFloat_c::FxInterpInfoFloat_c(void)
 0001:000A7990       FxInterpInfo32_c::FxInterpInfo32_c(void)
 0001:000A7D70       FxInterpInfo32_c::~FxInterpInfo32_c()
 0001:000A7DB0       ListItem_c::ListItem_c(void)
 0001:000A7DC0       _ZN10ListItem_cD2Ev_
 0001:000A7DD0       List_c::List_c(void)
 0001:000A7DF0       List_c::AddItem(ListItem_c *)
 0001:000A7E30       List_c::RemoveItem(ListItem_c *)
 0001:000A7EB0       List_c::RemoveAll(void)
 0001:000A8130       FxManager_c::GetFrustumInfo(void)
 0001:000A8140       FxManager_c::CalcFrustumInfo(RwCamera *)
 0001:000A8360       FxManager_c::FindFxSystemBP(char *)
 0001:000A83E0       FxManager_c::SetWindData(RwV3d *,float *)
 0001:000A8440       FxManager_c::FxRwMatrixCreate(void)
 0001:000A8460       FxManager_c::FxRwMatrixDestroy(RwMatrixTag *)
 0001:000A8500       FxManager_c::ShouldCreate(FxSystemBP_c *,RwMatrixTag *,RwMatrixTag *,uchar)
 0001:000A85C0       _ZN11FxManager_c14CreateFxSystemEP12FxSystemBP_cP5RwV3dP11RwMatrixTagh_
 0001:000A86B0       FxManager_c::CreateFxSystem(FxSystemBP_c *,RwV3d *,RwMatrixTag *,uchar)
 0001:000A8810       FxManager_c::DestroyFxSystem(FxSystem_c *)
 0001:000A88B0       FxManager_c::DestroyAllFxSystems(void)
 0001:000A88E0       FxManager_c::Init(void)
 0001:000A8A10       FxManager_c::Exit(void)
 0001:000A8BB0       FxManager_c::CreateFxSystem(char *,RwMatrixTag *,RwMatrixTag *,uchar)
 0001:000A8BE0       FxManager_c::CreateFxSystem(char *,RwV3d *,RwMatrixTag *,uchar)
 0001:000A8C30       FxMemoryPool_c::Init(void)
 0001:000A8CA0       FxMemoryPool_c::GetMem(int,int)
 0001:000A8CD0       FxMemoryPool_c::Optimise(void)
 0001:000A8CF0       FxPrimBP_c::FxPrimBP_c(void)
 0001:000A8F20       FxPrim_c::FxPrim_c(void)
 0001:000A8F50       FxPrim_c::Enable(uchar)
 0001:000A9030       FxFrustumInfo_c::IsCollision(FxSphere_c *)
 0001:000A90D0       FxSystemBP_c::FxSystemBP_c(void)
 0001:000A9100       FxSystemBP_c::operator new(uint)
 0001:000A9130       FxSystemBP_c::Update(float)
 0001:000A9160       FxSystemBP_c::Render(RwCamera *,float,uchar)
 0001:000A9200       FxSystemBP_c::SetBoundingSphere(RwV3d *,float)
 0001:000A9260       FxSystem_c::~FxSystem_c()
 0001:000A92F0       FxSystem_c::Play(void)
 0001:000A9390       FxSystem_c::Stop(void)
 0001:000A93D0       FxSystem_c::PlayAndKill(void)
 0001:000A93F0       FxSystem_c::Kill(void)
 0001:000A9400       FxSystem_c::AttachToBone(CEntity *,int)
 0001:000A9440       FxSystem_c::AddParticle(RwV3d *,RwV3d *,float,FxPrtMult_c *,float,float,float,uchar)
 0001:000A9610       FxSystem_c::EnablePrim(int,uchar)
 0001:000A9630       FxSystem_c::SetMatrix(RwMatrixTag *)
 0001:000A9660       FxSystem_c::SetOffsetPos(RwV3d *)
 0001:000A96C0       FxSystem_c::SetConstTime(uchar,float)
 0001:000A96F0       FxSystem_c::SetRateMult(float)
 0001:000A9730       FxSystem_c::SetVelAdd(RwV3d *)
 0001:000A9750       FxSystem_c::Init(FxSystemBP_c *,RwMatrixTag *,RwMatrixTag *)
 0001:000A9840       FxSystem_c::Exit(void)
 0001:000A9890       FxSystem_c::CopyParentMatrix(void)
 0001:000A9900       FxSystem_c::GetPlayStatus(void)
 0001:000A9910       FxSystem_c::SetLocalParticles(uchar)
 0001:000A9930       FxSystem_c::ForAllParticles(void (*)(Particle_c *,int,void **),void *)
 0001:000A9A40       FxSystem_c::GetBoundingBox(FxBox_c *)
 0001:000A9AD0       FxSystem_c::GetBoundingSphereWld(FxSphere_c *)
 0001:000A9C70       FxSystem_c::SetMustCreatePrts(uchar)
 0001:000A9C90       FxSystem_c::DoFxAudio(CVector)
 0001:000A9F00       FxSystem_c::FxSystem_c(void)
 0001:000A9F30       FxSystem_c::IsVisible(void)
 0001:000A9F70       FxSystem_c::Update(RwCamera *,float)
 0001:000AA240       OpenFile(char const*,char const*)
 0001:000AA250       ReadLine(int,char *,int)
 0001:000AA260       CloseFile(int)
 0001:000AA270       FxPrtMult_c::FxPrtMult_c(void)
 0001:000AA290       FxPrtMult_c::FxPrtMult_c(float,float,float,float,float,float,float)
 0001:000AA370       CEventGroup::Flush(bool)
 0001:000AA420       CEventGroup::Add(CEvent &,bool)
 0001:000AA8A0       CEventGlobalGroup::AddEventsToGroup(CPedGroup *)
 0001:000AA9C0       CEventGlobalGroup::AddEventsToPed(CPed *)
 0001:000AAA50       GetEventGlobalGroup(void)
 0001:000AB2A0       CInformFriendsEventQueue::Flush(void)
 0001:000AB2E0       CInformFriendsEventQueue::Process(void)
 0001:000AB410       CInformGroupEventQueue::Flush(void)
 0001:000AB610       CEventGunShot::CEventGunShot(CEntity *,CVector,CVector,bool)
 0001:000AB720       CEventGunShot::~CEventGunShot()
 0001:000AC3F0       CPedDamageResponseCalculator::CPedDamageResponseCalculator(CEntity const*,float,eWeaponType,ePedPieceTypes,bool)
 0001:000AC420       CPedDamageResponseCalculator::~CPedDamageResponseCalculator()
 0001:000AC830       CEventDamage::CEventDamage(CEntity *,uint,eWeaponType,ePedPieceTypes,uchar,bool,bool)
 0001:000AC960       CEventDamage::~CEventDamage()
 0001:000ACC10       CEventDamage::ComputeBodyPartToRemove(int &)
 0001:000AE820       CEventAcquaintancePed::CEventAcquaintancePed(CPed *)
 0001:000AE890       CEventAcquaintancePed::~CEventAcquaintancePed()
 0001:000B00C0       CEventVehicleOnFire::CEventVehicleOnFire(CVehicle *)
 0001:000B0170       CEventVehicleOnFire::~CEventVehicleOnFire()
 0001:000B0FD0       CEventGunShotWhizzedBy::CEventGunShotWhizzedBy(CEntity *,CVector const&,CVector const&,bool)
 0001:000B1070       CEventGunShotWhizzedBy::~CEventGunShotWhizzedBy()
 0001:000B1990       CInformFriendsEventQueue__Init
 0001:000B1AD0       CInformGroupEventQueue__Init
 0001:000B1AE0       CInformGroupEventQueue::Process(void)
 0001:000B25A0       CEventDamage::AffectsPed(CPed *)
 0001:000B2A20       CEventDamage::ProcessDamage(CPed *)
 0001:000B2A60       CEventDamage::ComputeDeathAnim(CPed *,bool)
 0001:000B2FC0       CEventDamage::ComputeDamageAnim(CPed *,bool)
 0001:000B4AC0       CPedDamageResponseCalculator::ComputeDamageResponse(CPed *,CPedDamageResponse &,bool)
 0001:000B7690       CTaskSimpleStandStill::MakeAbortable(CPed *,int,CEvent const*)
 0001:000B7CE0       CEventHandler::ComputePlayerCollisionWithPedResponse(CEvent *,CTask *,CTask *)
 0001:000B82B0       CEventHandler::ComputeObjectCollisionResponse(CEvent *,CTask *,CTask *)
 0001:000B8400       CEventHandler::ComputeDeathResponse(CEvent *,CTask *,CTask *)
 0001:000B8470       CEventHandler::ComputeDeadPedResponse(CEvent *,CTask *,CTask *)
 0001:000B86D0       CEventHandler::ComputeVehiclePotentialPassiveCollisionResponse(CEvent *,CTask *,CTask *)
 0001:000B87B0       CEventHandler::ComputeReviveResponse(CEvent *,CTask *,CTask *)
 0001:000B88E0       CEventHandler::ComputeChatPartnerResponse(CEvent *,CTask *,CTask *)
 0001:000B89F0       CEventHandler::ComputeSexyPedResponse(CEvent *,CTask *,CTask *)
 0001:000B8AA0       CEventHandler::ComputeSexyVehicleResponse(CEvent *,CTask *,CTask *)
